player, date, time, item, itemID, itemString, response, votes, class, instance, boss, gear1, gear2, responseID, isAwardReason
Smaktat-Zul'jin,25/06/17,00:22:03,[Mote of Astral Suffusion],147078,147078::::::::110:64::5:3:3562:1497:3528:::,Upgrade,3,MAGE,Tomb of Sargeras-Heroic,Priestess Lunaspyre,[Suffused Manapearl],nil,1,false
Smaktat-Zul'jin,30/06/17,22:30:09,[Robe of Aqueous Command],146994,146994::::::::110:64::3:3:3561:1482:3528:::,Pass,2,MAGE,Tomb of Sargeras-Normal,Harjatan,[Robe of Everburning Knowledge],nil,PASS,false
Smaktat-Zul'jin,30/06/17,22:54:58,[Slippers of Enduring Vigilance],146987,146987::::::::110:64::3:3:3561:1482:3528:::,xmog,4,MAGE,Tomb of Sargeras-Normal,Priestess Lunaspyre,[Perpetually Muddy Sandals],nil,5,false
Smaktat-Zul'jin,30/06/17,23:45:20,[Shoulders of the Foregone Vanquisher],147328,147328::::::::110:64::3::::,4th Tier Piece,3,MAGE,Tomb of Sargeras-Normal,Fallen Avatar,[Mantle of Everburning Knowledge],nil,1,false
Mortalbite-Zul'jin,25/06/17,00:22:39,[Dusk-Crusher Handguards],147061,147061::::::::110:64::5:3:3562:1497:3528:::,Upgrade,5,WARRIOR,Tomb of Sargeras-Heroic,Priestess Lunaspyre,[Gauntlets of Fractured Eons],nil,1,false
Mortalbite-Zul'jin,26/06/17,00:56:42,[Chest of the Foregone Protector],147318,147318::::::::110:64::5:1:570:::,1st Tier Piece,3,WARRIOR,Tomb of Sargeras-Heroic,Maiden of Vigilance,[Cuirass of Blinding Dawn],nil,4,false
Mortalbite-Zul'jin,30/06/17,23:31:28,[Tears of the Maiden],151189,151189::::::::110:64::3:3:3561:1482:3528:::,OS,5,WARRIOR,Tomb of Sargeras-Normal,Maiden of Vigilance,[Phylactery of Unwilling Servitude],nil,4,false
Vierä-Zul'jin,24/06/17,22:14:36,[Infernal Cinders],147009,147009::::::::110:64::5:4:3562:1808:1497:3528:::,Upgrade,5,ROGUE,Tomb of Sargeras-Heroic,Goroth,[Nightblooming Frond],[Convergence of Fates],1,false
Vierä-Zul'jin,24/06/17,23:43:52,[Pungent Chum],147081,147081::::::::110:63::5:3:3562:1497:3528:::,Upgrade,5,ROGUE,Tomb of Sargeras-Heroic,Mistress Sassz'ine,[Man'ari Blood Pact],nil,1,false
Vierä-Zul'jin,26/06/17,00:56:33,[Gloves of Wayward Compulsions],147032,147032::::::::110:64::5:4:3562:1808:1497:3528:::,Upgrade,4,ROGUE,Tomb of Sargeras-Heroic,Maiden of Vigilance,[Doomblade Gauntlets],nil,1,false
Vierä-Zul'jin,30/06/17,22:30:26,[Gauntlets of the Foregone Vanquisher],147319,147319::::::::110:64::3::::,2nd Tier Piece,5,ROGUE,Tomb of Sargeras-Normal,Harjatan,[Doomblade Gauntlets],nil,3,false
Vierä-Zul'jin,30/06/17,23:31:44,[Chest of the Foregone Vanquisher],147316,147316::::::::110:64::3::::,3rd Tier Piece,4,ROGUE,Tomb of Sargeras-Normal,Maiden of Vigilance,[Doomblade Tunic],nil,2,false
Vierä-Zul'jin,30/06/17,23:45:15,[Shoulders of the Foregone Vanquisher],147328,147328::::::::110:64::3::::,4th Tier Piece,4,ROGUE,Tomb of Sargeras-Normal,Fallen Avatar,[Mantle of the Master Assassin],nil,1,false
Vierä-Zul'jin,01/07/17,00:47:46,[Imploding Infernal Star],147084,147084::::::::110:64::5:3:3562:1527:3337:::,OS,4,ROGUE,Tomb of Sargeras-Heroic,Goroth,nil,nil,4,false
